support,itemsets
0.078147612156295,"frozenset([u'Microsoft.Compute/virtualMachines/extensions', u'Microsoft.Network/networkSecurityGroups'])"
0.078147612156295,"frozenset([u'Microsoft.Network/publicIPAddresses', u'Microsoft.Compute/availabilitySets'])"
0.078147612156295,"frozenset([u'Microsoft.Compute/virtualMachines/extensions', u'Microsoft.Network/networkSecurityGroups', u'Microsoft.Network/networkInterfaces'])"
0.078147612156295,"frozenset([u'Microsoft.Compute/availabilitySets', u'Microsoft.Network/publicIPAddresses', u'Microsoft.Network/networkInterfaces'])"
0.078147612156295,"frozenset([u'Microsoft.Compute/virtualMachines/extensions', u'Microsoft.Network/publicIPAddresses', u'Microsoft.Network/networkSecurityGroups'])"
0.078147612156295,"frozenset([u'Microsoft.Network/publicIPAddresses', u'Microsoft.Compute/availabilitySets', u'Microsoft.Compute/virtualMachines'])"
0.078147612156295,"frozenset([u'Microsoft.Compute/virtualMachines/extensions', u'Microsoft.Network/publicIPAddresses', u'Microsoft.Network/networkInterfaces', u'Microsoft.Network/networkSecurityGroups'])"
0.078147612156295,"frozenset([u'Microsoft.Compute/availabilitySets', u'Microsoft.Network/publicIPAddresses', u'Microsoft.Network/networkInterfaces', u'Microsoft.Compute/virtualMachines'])"
0.076700434153401,"frozenset([u'extensions', u'Microsoft.Network/networkInterfaces'])"
0.076700434153401,"frozenset([u'extensions', u'Microsoft.Compute/virtualMachines'])"
0.076700434153401,"frozenset([u'extensions', u'Microsoft.Network/networkInterfaces', u'Microsoft.Compute/virtualMachines'])"
0.075253256150507,"frozenset([u'Microsoft.Network/publicIPAddresses', u'extensions'])"
0.075253256150507,"frozenset([u'extensions', u'Microsoft.Network/publicIPAddresses', u'Microsoft.Network/networkInterfaces'])"
0.075253256150507,"frozenset([u'Microsoft.Compute/virtualMachines/extensions', u'Microsoft.Network/networkSecurityGroups', u'Microsoft.Compute/virtualMachines'])"
0.075253256150507,"frozenset([u'Microsoft.Network/publicIPAddresses', u'extensions', u'Microsoft.Compute/virtualMachines'])"
0.075253256150507,"frozenset([u'Microsoft.Compute/virtualMachines/extensions', u'Microsoft.Network/networkSecurityGroups', u'Microsoft.Network/networkInterfaces', u'Microsoft.Compute/virtualMachines'])"
0.075253256150507,"frozenset([u'extensions', u'Microsoft.Network/publicIPAddresses', u'Microsoft.Network/networkInterfaces', u'Microsoft.Compute/virtualMachines'])"
0.075253256150507,"frozenset([u'Microsoft.Compute/virtualMachines/extensions', u'Microsoft.Network/publicIPAddresses', u'Microsoft.Network/networkSecurityGroups', u'Microsoft.Compute/virtualMachines'])"
0.075253256150507,"frozenset([u'Microsoft.Compute/virtualMachines/extensions', u'Microsoft.Network/publicIPAddresses', u'Microsoft.Network/networkInterfaces', u'Microsoft.Network/networkSecurityGroups', u'Microsoft.Compute/virtualMachines'])"
